Order ID,Product Category,Product Name,Sales Region,Sales Date,Quantity Sold,Unit Price,Sales Representative,Customer Segment,Discount Applied,Total Sales,
1001,Laptops,Dell XPS 13,North America,10-01-2024,25,1200,Alice Johnson,Enterprise,Yes,30000,
1002,Smartphones,iPhone 14,Europe,11-01-2024,30,950,Bob Smith,Individual,No,28500,
1003,Tablets,iPad Pro,North America,12-01-2024,20,900,Carol Lee,Small Business,Yes,18000,
1004,Laptops,MacBook Air,Asia,13-01-2024,15,1000,David Brown,Enterprise,No,15000,
1005,Smartphones,Samsung Galaxy S23,North America,14-01-2024,40,800,Eve Davis,Individual,No,32000,
1006,Tablets,Microsoft Surface Pro,Europe,15-01-2024,25,800,Frank White,Small Business,Yes,20000,
1007,Laptops,HP Spectre x360,Asia,16-01-2024,10,1300,Grace Lee,Enterprise,Yes,13000,
1008,Smartphones,Google Pixel 7,North America,17-01-2024,35,850,Henry Wilson,Individual,No,29750,
1009,Tablets,Samsung Galaxy Tab S8,Europe,18-01-2024,18,700,Ivy Thompson,Small Business,No,12600,
1010,Laptops,Lenovo ThinkPad X1,Asia,19-01-2024,22,1100,Jack Brown,Enterprise,Yes,24200,
1011,Smartphones,OnePlus 11,North America,20-01-2024,50,750,Alice Johnson,Individual,No,37500,
1012,Tablets,Lenovo Yoga Tab,Europe,21-01-2024,14,650,Bob Smith,Small Business,Yes,9100,
1013,Laptops,ASUS ZenBook 14,Asia,22-01-2024,30,1150,Carol Lee,Enterprise,No,34500,
1014,Smartphones,Sony Xperia 5,North America,23-01-2024,20,800,David Brown,Individual,No,16000,
1015,Tablets,Amazon Fire HD 10,Europe,24-01-2024,25,400,Eve Davis,Small Business,Yes,10000,
1016,Laptops,Microsoft Surface Laptop,Asia,25-01-2024,12,1400,Frank White,Enterprise,No,16800,
1017,Smartphones,Huawei P40 Pro,North America,26-01-2024,22,900,Grace Lee,Individual,Yes,19800,
1018,Tablets,Google Nexus 9,Europe,27-01-2024,17,700,Henry Wilson,Small Business,No,11900,
1019,Laptops,MSI GF63 Thin,Asia,28-01-2024,28,1050,Ivy Thompson,Enterprise,Yes,29400,
1020,Smartphones,Motorola Moto G Power,North America,29-01-2024,40,650,Jack Brown,Individual,No,26000,
1021,Tablets,Apple iPad Mini,Europe,30-01-2024,23,700,Alice Johnson,Small Business,Yes,16100,
1022,Laptops,Razer Blade 15,Asia,31-01-2024,18,1600,Bob Smith,Enterprise,No,28800,
1023,Smartphones,Oppo Find X5 Pro,North America,01-02-2024,15,950,Carol Lee,Individual,No,14250,
1024,Tablets,Huawei MatePad Pro,Europe,02-02-2024,20,750,David Brown,Small Business,Yes,15000,
1025,Laptops,Dell Inspiron 15,Asia,03-02-2024,25,950,Eve Davis,Enterprise,No,23750,
1026,Smartphones,Nokia G50,North America,04-02-2024,35,700,Frank White,Individual,Yes,24500,
1027,Tablets,Acer Iconia Tab 10,Europe,05-02-2024,16,550,Grace Lee,Small Business,No,8800,
1028,Laptops,HP Envy x360,Asia,06-02-2024,20,1250,Henry Wilson,Enterprise,Yes,25000,
1029,Smartphones,Vivo V23 Pro,North America,07-02-2024,28,850,Ivy Thompson,Individual,No,23800,
1030,Tablets,LG G Pad 5,Europe,08-02-2024,21,600,Jack Brown,Small Business,Yes,12600,
1031,Laptops,Acer Predator Helios,Asia,09-02-2024,15,1400,Alice Johnson,Enterprise,No,21000,
1032,Smartphones,BlackBerry Key2,North America,10-02-2024,18,700,Bob Smith,Individual,Yes,12600,
1033,Tablets,Sony Xperia Tablet Z,Europe,11-02-2024,13,650,Carol Lee,Small Business,No,8450,
1034,Laptops,Lenovo Yoga 730,Asia,12-02-2024,20,1100,David Brown,Enterprise,Yes,22000,
1035,Smartphones,HTC U12+,North America,13-02-2024,25,750,Eve Davis,Individual,No,18750,
1036,Tablets,Samsung Galaxy Tab A8,Europe,14-02-2024,19,500,Frank White,Small Business,Yes,9500,
1037,Laptops,Apple MacBook Pro,Asia,15-02-2024,12,2000,Grace Lee,Enterprise,No,24000,
1038,Smartphones,LG Wing,North America,16-02-2024,30,850,Henry Wilson,Individual,Yes,25500,
1039,Tablets,Google Pixel Slate,Europe,17-02-2024,16,700,Ivy Thompson,Small Business,No,11200,
1040,Laptops,MSI Creator Z16,Asia,18-02-2024,14,1800,Jack Brown,Enterprise,Yes,25200,
1041,Smartphones,Asus ROG Phone 6,North America,19-02-2024,22,1000,Alice Johnson,Individual,No,22000,
1042,Tablets,Amazon Fire HD 8,Europe,20-02-2024,26,400,Bob Smith,Small Business,Yes,10400,
1043,Laptops,HP Omen 17,Asia,21-02-2024,18,1300,Carol Lee,Enterprise,No,23400,
1044,Smartphones,OnePlus Nord 2,North America,22-02-2024,25,700,David Brown,Individual,Yes,17500,
1045,Tablets,Huawei MediaPad T5,Europe,23-02-2024,20,600,Eve Davis,Small Business,No,12000,
1046,Laptops,Razer Book 13,Asia,24-02-2024,21,1400,Frank White,Enterprise,Yes,29400,
1047,Smartphones,Oppo Reno 7,North America,25-02-2024,18,750,Grace Lee,Individual,No,13500,
1048,Tablets,LG G Pad X2,Europe,26-02-2024,22,650,Henry Wilson,Small Business,Yes,14300,
1049,Laptops,Apple MacBook Air M2,Asia,27-02-2024,19,1400,Ivy Thompson,Enterprise,No,26600,
1050,Smartphones,Xiaomi Mi 11,North America,28-02-2024,24,800,Jack Brown,Individual,Yes,19200,
